법정동코드,시도명,시군구명
42230330,강원도,삼척시
42230340,강원도,삼척시
42230350,강원도,삼척시
42230360,강원도,삼척시
42230901,강원도,삼척시
42230902,강원도,삼척시
42230903,강원도,삼척시
42710000,강원도,춘성군
42710310,강원도,춘성군
42710320,강원도,춘성군
42710330,강원도,춘성군
42710340,강원도,춘성군
42710350,강원도,춘성군
42710360,강원도,춘성군
42710370,강원도,춘성군
42840360,강원도,명주군
41860110,경기도,안성군
41720010,경기도,남양주군
41850310,경기도,용인군
41850320,경기도,용인군
41850330,경기도,용인군
41850340,경기도,용인군
41850350,경기도,용인군
41850360,경기도,용인군
41850370,경기도,용인군
41850380,경기도,용인군
41850390,경기도,용인군
41860000,경기도,안성군
41720030,경기도,남양주군
41720110,경기도,남양주군
41720120,경기도,남양주군
41720130,경기도,남양주군
41720140,경기도,남양주군
41720310,경기도,남양주군
41720320,경기도,남양주군
41720330,경기도,남양주군
41720340,경기도,남양주군
41720350,경기도,남양주군
41800330,경기도,연천군
41780130,경기도,고양군
41780140,경기도,고양군
41780150,경기도,고양군
41780160,경기도,고양군
41780310,경기도,고양군
41790000,경기도,광주군
41790030,경기도,광주군
41790035,경기도,광주군
41790040,경기도,광주군
41790045,경기도,광주군
41790050,경기도,광주군
41790055,경기도,광주군
41790060,경기도,광주군
42050030,강원도,울진군
41760130,경기도,시흥군
41760310,경기도,시흥군
41760320,경기도,시흥군
41770000,경기도,파주군
41770010,경기도,파주군
41770030,경기도,파주군
41770035,경기도,파주군
41770040,경기도,파주군
41770110,경기도,파주군
41770120,경기도,파주군
41770130,경기도,파주군
41860310,경기도,안성군
41860320,경기도,안성군
41860330,경기도,안성군
42710380,강원도,춘성군
42710390,강원도,춘성군
42710400,강원도,춘성군
42715000,강원도,춘천군
42715310,강원도,춘천군
42715320,강원도,춘천군
42715330,강원도,춘천군
42715340,강원도,춘천군
42715350,강원도,춘천군
42715360,강원도,춘천군
42715370,강원도,춘천군
42715380,강원도,춘천군
42715390,강원도,춘천군
